,Unnamed: 0,DICE,FN,FP,IoU,TN,TP,n_pred,n_ref,prediction_file,reference_file,challenge_DICE,challenge_FP,challenge_FN,num_pred_conn_comps,num_gt_conn_comps
445,445,0.0,0,480,0.0,92319520,0,480,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_80f7760f65_11142005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_80f7760f65_11142005.nii.gz,0.0,5.971690063476562,0.0,2,0
446,446,0.0,0,20,0.0,49919980,0,20,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_81debf13a1_03092006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_81debf13a1_03092006.nii.gz,0.0,0.2488204193115234,0.0,1,0
447,447,0.7725102548584494,43,3340,0.629341514188671,52150873,5744,9084,5787,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_82137245b0_01262002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_82137245b0_01262002.nii.gz,0.7725102548584494,0.3732306289672851,0.0124410209655761,8,8
448,448,0.0,0,87,0.0,52159913,0,87,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_8311aeddb9_11132003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_8311aeddb9_11132003.nii.gz,0.0,1.082368824005127,0.0,9,0
449,449,0.0,0,97,0.0,47519903,0,97,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_8311aeddb9_12162005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_8311aeddb9_12162005.nii.gz,0.0,1.2067790336608886,0.0,1,0
450,450,,0,0,,47200000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_83e4c5b578_03112006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_83e4c5b578_03112006.nii.gz,,0.0,0.0,0,0
451,451,0.0,0,27,0.0,52159973,0,27,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_846c1af245_12062002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_846c1af245_12062002.nii.gz,0.0,0.3359075660705566,0.0,5,0
452,452,0.7925849105522427,2045,1155,0.6564311788705175,51990686,6114,7269,8159,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_84e7715ed9_01042002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_84e7715ed9_01042002.nii.gz,0.7925849105522427,13.100395076751708,0.0,6,3
453,453,,0,0,,47360000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_855c7fca12_07272006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_855c7fca12_07272006.nii.gz,,0.0,0.0,0,0
454,454,0.0,0,452,0.0,46879548,0,452,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_85b69fed1c_01212006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_85b69fed1c_01212006.nii.gz,0.0,5.623341476440429,0.0,7,0
455,455,,0,0,,53600000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_86153b2974_03192006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_86153b2974_03192006.nii.gz,,0.0,0.0,0,0
